id,Formula,Porcentajes,Tipo,Nombres,Tolerancia
0,Piano Black,100.00%,Base,Piano Black,+-1%
,,20.00%,Solvente,901-B9,+-1%
,,20.00%,Solvente,901-86,+-1%
,,5.00%,Solvente,901-1N,+-1%
,,1.00%,Aditivo,100611,+-1%
1,Caribou Gray,100.00%,Base,Caribou Gray,+-1%
,,35.00%,Solvente,901-86,+-1%
,,15.00%,Solvente,903-89,+-1%
2,Dark Blue,100.00%,Base,Dark Blue,+-1%
,,80.00%,Solvente,901-86,+-1%
3,Deep Iron,100.00%,Base,Deep Iron,+-1%
,,50.00%,Solvente,903-89,+-1%
4,Dark Marine,100.00%,Base,Dark Marine,+-1%
,,80.00%,Solvente,901-86,+-1%
5,Cappuccino Beige,100.00%,Base,Cappuccino Beige,+-1%
,,50.00%,Solvente,903-89,+-1%
6,Energetic Orange,100.00%,Base,Energetic Orange,+-1%
,,50.00%,Solvente,903-89,+-1%
7,Clear Coat,100.00%,Base,Clear Coat,+-1%
,,50.00%,Solvente,903-89,+-1%
,,1.00%,Aditivo,100611,+-1%
